cycle_rounded,chaetoceros,compl_guinardia_dactyliosolen,compl_rhizosolenia_proboscia,coscinodiscus,detritos,guinardia_striata,hemidiscus,rhizosolenia_robusta,sombra
2021-06-01T00:00:00Z,4,16,16,379,34,8,31,25,57
2021-06-01T01:00:00Z,5,23,6,348,23,18,35,15,45
2021-06-01T02:00:00Z,18,29,30,1126,48,38,82,74,149
2021-06-01T03:00:00Z,21,54,24,997,41,20,91,26,98
2021-06-01T04:00:00Z,12,47,34,948,38,19,69,33,110
2021-06-01T05:00:00Z,16,19,19,532,15,7,47,22,86
2021-06-01T06:00:00Z,24,87,21,1394,35,20,99,45,123
2021-06-01T07:00:00Z,18,37,40,372,28,19,87,30,96
2021-06-01T08:00:00Z,14,39,51,954,15,16,96,24,110
2021-06-01T09:00:00Z,13,18,35,695,4,12,58,14,75
2021-06-01T10:00:00Z,13,24,57,1803,41,24,129,27,153
2021-06-01T11:00:00Z,24,37,56,1989,31,18,172,37,160
2021-06-01T12:00:00Z,29,34,38,1412,41,23,83,46,113
2021-06-01T13:00:00Z,11,12,11,653,21,9,35,25,57
2021-06-01T14:00:00Z,31,44,40,1215,34,12,50,31,78
2021-06-01T15:00:00Z,18,19,22,923,21,10,58,39,104
2021-06-01T16:00:00Z,16,29,22,1407,34,6,67,48,107
2021-06-01T17:00:00Z,28,23,34,2284,47,16,96,44,184
2021-06-01T18:00:00Z,25,40,47,1460,42,20,86,53,186
2021-06-01T19:00:00Z,23,36,20,635,33,9,39,41,132
2021-06-01T20:00:00Z,11,41,24,792,40,20,44,47,218
2021-06-01T21:00:00Z,9,13,26,640,26,15,30,22,110
2021-06-01T22:00:00Z,10,19,34,1077,31,31,68,45,247
2021-06-01T23:00:00Z,8,25,30,900,43,25,47,50,268
2021-06-02T00:00:00Z,11,19,23,802,27,23,60,32,231
2021-06-02T01:00:00Z,3,11,12,260,8,4,29,13,116
2021-06-02T02:00:00Z,15,25,21,364,22,21,30,31,203
2021-06-02T03:00:00Z,12,19,28,390,33,22,39,30,207
2021-06-02T04:00:00Z,4,17,56,154,26,8,31,35,138
2021-06-02T05:00:00Z,12,38,87,766,59,35,99,86,294
2021-06-02T06:00:00Z,18,51,68,881,75,28,118,83,319
2021-06-02T07:00:00Z,16,39,37,1452,51,21,111,69,232
2021-06-02T08:00:00Z,27,39,51,1506,97,50,143,123,336
2021-06-02T09:00:00Z,8,20,20,758,25,7,67,21,126
2021-06-02T10:00:00Z,15,35,91,1441,33,9,132,49,201
2021-06-02T11:00:00Z,18,20,52,954,24,15,84,47,202
2021-06-02T12:00:00Z,7,24,49,731,22,12,70,32,142
2021-06-02T13:00:00Z,11,14,30,293,5,2,33,16,71
2021-06-02T14:00:00Z,5,11,78,547,21,8,87,22,76
2021-06-02T15:00:00Z,12,17,60,669,17,16,66,25,80
2021-06-02T16:00:00Z,13,14,54,728,39,10,69,44,74
2021-06-02T17:00:00Z,16,27,56,956,29,16,78,48,96
2021-06-02T18:00:00Z,11,19,31,906,21,9,68,38,68
2021-06-02T19:00:00Z,91,33,32,781,39,15,61,33,76
2021-06-02T20:00:00Z,3,12,14,193,11,2,22,16,19
2021-06-02T21:00:00Z,17,26,32,380,24,11,43,38,67
2021-06-02T22:00:00Z,13,17,28,444,32,18,52,40,66
2021-06-02T23:00:00Z,9,14,73,763,42,31,83,60,93
2021-06-03T00:00:00Z,4,4,33,333,26,24,51,21,38
2021-06-03T01:00:00Z,5,19,56,510,48,35,67,38,81
2021-06-03T02:00:00Z,5,12,53,609,41,31,90,32,93
2021-06-03T03:00:00Z,11,10,13,146,18,3,33,31,40
2021-06-03T04:00:00Z,7,17,35,316,44,12,60,33,58
2021-06-03T05:00:00Z,5,16,54,465,47,17,74,34,59
2021-06-03T06:00:00Z,9,20,55,596,34,11,113,36,73
2021-06-03T07:00:00Z,20,30,54,806,38,13,81,47,100
2021-06-03T08:00:00Z,17,18,61,953,31,19,126,41,103
2021-06-03T09:00:00Z,28,29,73,750,35,16,93,39,89
2021-06-03T10:00:00Z,18,26,65,787,21,14,112,38,68
2021-06-03T11:00:00Z,11,11,37,574,12,7,68,28,41
2021-06-03T12:00:00Z,11,29,63,1111,32,8,142,39,113
